nombre_cientifico,nombre_vulgar,envase_1lt,envase_3lts,envase_5lts,envase_10lts,envase_20lts,altura_maxima
Solanun Granuloso Leprosum,Fumo Bravo,,,1,,,
Stigmatophyllum littorale,papa de rio,,0,,,,
Syagrus romanzoffiana,Pindó,,,,78,57,"     1,80 mts."
Symplocos Uniflora,Symploco,,,2,,1,
Thalia Geniculata,Peguajo,1,4,,2,,
Terminalia australis,Palo Amarillo,,,0,35,7,"     1,80 mts."
Tibouchina,Tibouchina,2,,,,,
Trixis praestans,Tabaquillo de monte,,,,28,,"     1,60 mts."
Urvillea uniloba,Urvillea,,6,2,,,
Vernonia rubricaulis,Vernonia,,,,18,,
Vernonia Escorpioides,Vernonia,,4,1,1,,
Xanthoxylum Hyemalis (Fagara),Tembetarí,,5,1,,,
Xanthoxylum rhoifolium,Tembetarí,,,3,4,,
Zephyranthes candida,Azucenita de río,,9,,,,
Zephyranthes minima,Zephyranthes minima,2,,,,,
